제품명,URL,가격,평점
"귤탐 당도선별 11brix 감귤, 2kg(로열과), 1개",https://www.coupang.com/vp/products/6855806001?itemId=16349390568&vendorItemId=82703198400&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"14,270",4.5
"귤탐 당도선별 11brix 감귤, 2kg(대과), 1개",https://www.coupang.com/vp/products/6855806001?itemId=21260525201&vendorItemId=88320873707&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"11,850",4.5
"곰곰 GAP 당도선별 제주감귤, 1.5kg(로얄과), 1박스",https://www.coupang.com/vp/products/6810165618?itemId=16107487920&vendorItemId=83304626686&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"9,630",4.5
"돌 스위티오 바나나, 1kg 내외, 1개",https://www.coupang.com/vp/products/218520566?itemId=490814306&vendorItemId=4242007843&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"4,190",4.5
"델몬트 필리핀 바나나, 1.4kg 내외, 1개",https://www.coupang.com/vp/products/6354913981?itemId=16734614225&vendorItemId=83916573827&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"5,020",4.5
"곰곰 세척 사과, 2kg, 1개",https://www.coupang.com/vp/products/324286997?itemId=1038296605&vendorItemId=5493710543&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"15,860",4.5
"명실상주 당도선별 샤인머스켓, 1.5kg(2~3송이), 1개",https://www.coupang.com/vp/products/6724131260?itemId=15646033918&vendorItemId=82862046288&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"12,850",4.5
"곰곰 스테비아 대추방울토마토, 500g, 1팩",https://www.coupang.com/vp/products/6101896267?itemId=17397278390&vendorItemId=84566737697&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"6,990",4.5
"귤탐 당도선별 11brix 감귤, 2kg(소과), 1개",https://www.coupang.com/vp/products/6855806001?itemId=20512855105&vendorItemId=87590459342&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"14,270",4.5
"곰곰 달콤한 스테비아 대추방울토마토, 1kg, 1개",https://www.coupang.com/vp/products/6101896267?itemId=11440236121&vendorItemId=78715723909&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"9,990",4.5
"탐라황감 당도선별 감귤 10brix, 2kg(로열과), 1개",https://www.coupang.com/vp/products/7677689326?itemId=20498716350&vendorItemId=87576999851&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"11,990",4.5
"곰곰 국내산 사과, 1.5kg(꼬마, 8~10입), 1개",https://www.coupang.com/vp/products/6057854838?itemId=11126906850&vendorItemId=78405550325&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"11,100",4.5
"한반도 비파괴 당도선별 샤인머스켓, 1.5kg, 1개",https://www.coupang.com/vp/products/6125877934?itemId=19932221438&vendorItemId=87287289668&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"12,850",4.5
"세도농협 GAP 인증 대추방울토마토, 1kg, 1박스",https://www.coupang.com/vp/products/327206043?itemId=1046983315&vendorItemId=5510129601&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"14,360",4.5
"탐라황감 당도선별 10brix 감귤, 2kg(대과), 1개",https://www.coupang.com/vp/products/7677689326?itemId=21260525275&vendorItemId=88320873831&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"10,780",4.5
"아보카도 하프 (냉동), 500g, 2개",https://www.coupang.com/vp/products/8299534782?itemId=23986851564&vendorItemId=91007897403&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"11,770",5.0
"스윗토 스테비아 대추방울토마토, 1.2kg, 1팩",https://www.coupang.com/vp/products/4744789493?itemId=6032995407&vendorItemId=73330579108&pickType=COU_PICK&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"11,980",4.5
"곰곰 GAP 당도선별 제주감귤, 1.5kg(로얄과), 2박스",https://www.coupang.com/vp/products/6810165618?itemId=19725462599&vendorItemId=86829513615&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"18,680",4.5
"칠레 체리, 400g, 2개",https://www.coupang.com/vp/products/346953047?itemId=19225054643&vendorItemId=86341712580&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"26,190",4.0
"광식이농장 GAP 인증 완숙 토마토, 1kg, 1팩",https://www.coupang.com/vp/products/7217231257?itemId=13051028811&vendorItemId=80313833615&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"10,510",4.5
"베리밸리 두리안 (냉동), 450g, 1개",https://www.coupang.com/vp/products/6697611439?itemId=15501048641&vendorItemId=82720382090&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"15,990",4.5
"스윗토 스테비아 대추방울토마토, 450g, 1팩",https://www.coupang.com/vp/products/4744789493?itemId=14382069079&vendorItemId=81626377805&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"6,470",4.5
"곰곰 조각 멜론, 600g, 1팩",https://www.coupang.com/vp/products/7350318536?itemId=18913097724&vendorItemId=86040419311&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"10,880",4.0
"새벽경매 봉지단감, 1kg(대과), 1개",https://www.coupang.com/vp/products/6101789633?itemId=12812017751&vendorItemId=80077936719&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"7,750",4.5
"다정다감 곶감또개 (냉동), 250g, 1개",https://www.coupang.com/vp/products/6591481031?itemId=14875316631&vendorItemId=82114283865&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"13,620",4.5
"스텔라나 베트남산 바나나, 1kg, 1개",https://www.coupang.com/vp/products/7312490308?itemId=18808408590&vendorItemId=85939009961&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"3,320",4.5
"델몬트 파인애플, 400g, 1개",https://www.coupang.com/vp/products/4321975731?itemId=14221259191&vendorItemId=81466621149&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"5,480",4.5
"귤탐 당도선별 11brix 감귤, 2kg(로열과), 2개",https://www.coupang.com/vp/products/6855806001?itemId=19394218509&vendorItemId=86506398822&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"26,570",4.5
"귤탐 당도선별 11brix 감귤, 2kg(소과), 2개",https://www.coupang.com/vp/products/6855806001?itemId=20535768756&vendorItemId=87612572809&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"27,680",4.5
"프레쉬팜 골드 파인애플 스틱, 1kg, 1개",https://www.coupang.com/vp/products/4972302070?itemId=6603812777&vendorItemId=73897730910&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"9,900",4.5
"프레샤인 GAP 인증 충주 못난이사과, 3kg, 1개",https://www.coupang.com/vp/products/5611991510?itemId=9072375286&vendorItemId=76358677658&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"19,990",4.5
"가족 시나노골드 못난이사과, 2kg(중과, 9입 이내), 1개",https://www.coupang.com/vp/products/7647884342?itemId=20341039306&vendorItemId=87425848334&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"12,320",4.5
"고산지 재배 당도선별 사과 중과, 1.5kg, 1봉",https://www.coupang.com/vp/products/1298620713?itemId=2311599581&vendorItemId=70308370600&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"13,650",4.5
"당도선별 망고수박, 2kg 미만, 1개",https://www.coupang.com/vp/products/7545921295?itemId=19847721060&vendorItemId=86948990362&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"10,480",4.0
"곰곰 대추방울토마토, 1kg, 1개",https://www.coupang.com/vp/products/7665795956?itemId=20435225603&vendorItemId=87516110692&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"13,030",4.5
"하이프루츠 당도선별 의성 세척사과, 2kg(소과, 10~12입), 1개",https://www.coupang.com/vp/products/6131351414?itemId=11694590904&vendorItemId=78968907329&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"15,860",4.5
"Dole 아보카도, 1kg, 1팩",https://www.coupang.com/vp/products/1173326805?itemId=2151600982&vendorItemId=70149900782&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"10,970",4.5
"시나노골드 사과, 2kg(소과, 9~10입), 1박스",https://www.coupang.com/vp/products/306608543?itemId=966663100&vendorItemId=5372673748&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"13,690",4.5
"못난이 사과, 1.5kg(소과, 8~10입), 1팩",https://www.coupang.com/vp/products/7792711474?itemId=21086377969&vendorItemId=88148455147&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"8,490",4.5
"곰곰 당도선별 수박, 4kg미만, 1개",https://www.coupang.com/vp/products/5341974172?itemId=14293956223&vendorItemId=81538856571&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"16,500",4.0
